action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,action_22,action_23,action_24,action_25,action_26,action_27,action_28
-0.14530512690544128,0.0028173550963401794,-0.0016350159421563148,0.4195560812950134,-0.06915660202503204,-0.030139796435832977,-0.3141147494316101,-0.280224084854126,0.04330569878220558,0.23810070753097534,0.4498634934425354,-0.128946915268898,0.09814399480819702,0.3961523473262787,-0.008601784706115723,-0.6912241578102112,0.7605977058410645,0.7885954976081848,-0.3347957134246826,-0.9953446984291077,-0.7113214731216431,-0.08492834866046906,-0.1938742697238922,-0.7224376797676086,-0.3006691038608551,-0.07400733232498169,0.5485951900482178,-0.02729216404259205,-0.08942817151546478
-0.46115249395370483,0.049798451364040375,-0.011022054590284824,0.56248939037323,-0.3564387559890747,-0.055175065994262695,-0.16881811618804932,-0.1496107280254364,0.0190596766769886,0.5562067031860352,-0.38132837414741516,-0.06519035249948502,-0.10359281301498413,-0.28281140327453613,0.035732463002204895,-0.3194749057292938,0.7009257078170776,0.27351993322372437,-0.4243325889110565,-0.9504063725471497,-0.022300340235233307,0.052822139114141464,-0.08831096440553665,-0.519123911857605,-0.50857013463974,-0.1625351756811142,0.8237394690513611,0.04736657440662384,-0.06469269096851349
0.03091968595981598,0.24076470732688904,-0.08001697063446045,0.48570680618286133,-0.39353352785110474,0.11325559765100479,0.1107233390212059,-0.12463124096393585,-0.02431303635239601,0.5184199213981628,-0.31083449721336365,-0.33211058378219604,0.09881307184696198,-0.027189217507839203,-0.12709370255470276,0.050924789160490036,0.34490811824798584,0.6224535703659058,0.08789238333702087,-0.8040665984153748,0.07548881322145462,-0.05362306907773018,0.06546732783317566,-0.38222557306289673,-0.4712231755256653,0.12822963297367096,0.7665324807167053,-0.12979574501514435,0.1147763729095459
-0.28416740894317627,0.27121439576148987,-0.0353478342294693,0.3171600103378296,-0.43808460235595703,0.2362358570098877,-0.2915937006473541,-0.34297579526901245,0.11670035123825073,0.3248540163040161,-0.3436569571495056,-0.17508022487163544,-0.08799229562282562,-0.2048695981502533,-0.0987149178981781,-0.40607696771621704,0.2949139475822449,0.07983651757240295,-0.40466293692588806,-0.8041878938674927,-0.3099815249443054,0.052444424480199814,-0.31769487261772156,-0.5125312209129333,-0.3786718547344208,-0.4798583686351776,0.7757893204689026,0.030123142525553703,-0.038510944694280624
0.14577318727970123,0.39989331364631653,-0.07963524758815765,0.41833531856536865,-0.21804310381412506,0.18326151371002197,-0.09322056919336319,-0.35764312744140625,0.08719681203365326,0.4239499270915985,0.006837375462055206,-0.35258662700653076,0.020606357604265213,0.24909457564353943,-0.36610355973243713,-0.5235360264778137,0.6956644058227539,0.6349731683731079,-0.36772620677948,-0.7668619751930237,0.017061375081539154,-0.10090041160583496,-0.471980482339859,-0.48979148268699646,-0.21119241416454315,-0.2293725460767746,0.7735897898674011,-0.4470472037792206,0.22008641064167023
-0.06573373079299927,0.38143712282180786,-0.07751792669296265,0.49297094345092773,-0.2927396297454834,0.28174108266830444,-0.0324384942650795,-0.43966737389564514,0.10840252041816711,0.4113326370716095,0.11692797392606735,-0.25560542941093445,0.06678590178489685,0.03327496349811554,-0.3901436924934387,-0.3453679382801056,0.47045034170150757,0.40302059054374695,-0.2002381980419159,-0.8306996822357178,-0.4334670901298523,0.059790875762701035,-0.45214495062828064,-0.47941550612449646,-0.568901777267456,-0.5784671306610107,0.8757392764091492,-0.33144208788871765,-0.13472217321395874
0.11585864424705505,0.5799307823181152,-0.07479973882436752,0.5791829228401184,0.05680568516254425,0.2452315390110016,0.016843728721141815,-0.3120870292186737,0.07453462481498718,0.5722936391830444,0.4428742527961731,-0.2133701741695404,-0.11391079425811768,-0.2781830430030823,-0.41669633984565735,-0.17202939093112946,0.2974010705947876,0.1640946865081787,-0.4974500238895416,-0.8746120929718018,-0.09253834933042526,-0.16069409251213074,-0.5211795568466187,-0.4852546453475952,-0.33806151151657104,-0.4571261703968048,0.7864499688148499,-0.3745146095752716,0.021771252155303955
0.005911298096179962,0.5571470260620117,-0.08278433978557587,0.6353127956390381,0.5334119200706482,0.218027263879776,-0.13479533791542053,-0.5379694700241089,0.03979489579796791,0.5085259675979614,0.8975834250450134,-0.26690736413002014,0.0726473331451416,-0.025546208024024963,-0.5126852989196777,-0.3191617727279663,0.31770047545433044,0.3693838119506836,-0.046178244054317474,-0.7901272177696228,-0.3607475161552429,-0.027455542236566544,-0.5295285582542419,-0.7047827243804932,-0.4245668351650238,-0.2732769548892975,0.8017924427986145,-0.19339017570018768,-0.12061931937932968
0.335060715675354,0.39973199367523193,-0.08846896886825562,0.7160927653312683,0.8221235275268555,0.2640051543712616,0.3049139082431793,-0.6292181015014648,0.07685258984565735,0.8278300762176514,1.258631944656372,-0.06615191698074341,-0.0024485550820827484,0.1886078119277954,-0.9160830974578857,-0.6027077436447144,0.40249747037887573,0.3539842963218689,-0.44583725929260254,-0.7801921963691711,-0.06746560335159302,0.02087980881333351,-0.2637031674385071,-0.5320065021514893,-0.7074758410453796,-0.38482585549354553,0.8054069876670837,-0.3904859125614166,-0.060444168746471405
0.3690783381462097,0.4348776340484619,0.003116547130048275,0.9843533039093018,1.4039030075073242,-0.0653129443526268,-0.221649169921875,-0.3511972725391388,0.041702840477228165,0.6262151598930359,1.2650079727172852,-0.3779534101486206,0.09550532698631287,0.15058904886245728,-0.778540849685669,-0.6628843545913696,0.7070321440696716,0.6626086235046387,-0.4974927604198456,-0.8668184876441956,-0.6152304410934448,-0.04094744101166725,-0.37582293152809143,-0.40737468004226685,-0.23985381424427032,-0.18766969442367554,0.8445049524307251,-0.2657501697540283,0.047015950083732605
0.1523662954568863,0.359702467918396,-0.034186214208602905,0.619688093662262,0.9677565097808838,0.13223940134048462,-0.08078085631132126,-0.2607382833957672,0.05308215692639351,0.59761643409729,1.1639952659606934,-0.15942439436912537,-0.08801361918449402,-0.16565316915512085,-0.5868452787399292,-0.3647427558898926,0.6073611378669739,0.5823744535446167,-0.4331417679786682,-0.745323121547699,0.014368437230587006,0.02845792844891548,-0.20374009013175964,-0.4394119679927826,-0.4473923146724701,-0.5096168518066406,0.6583333611488342,-0.035450875759124756,-0.02608635649085045
0.04176393151283264,0.4133470058441162,-0.04041893780231476,0.6161881685256958,0.7899006605148315,0.20504242181777954,0.023880459368228912,-0.1515892744064331,0.02680923417210579,0.662987470626831,1.0985069274902344,-0.11845032870769501,-0.06345837563276291,-0.3653886616230011,-0.573310136795044,-0.6139947175979614,0.49107295274734497,0.3251263499259949,-0.3813283443450928,-0.742207944393158,-0.5317462086677551,-0.15095898509025574,-0.24680283665657043,-0.5450856685638428,-0.2999275028705597,-0.10754531621932983,0.9060184359550476,-0.45183756947517395,0.06725917756557465
0.0764101892709732,0.2786059081554413,-0.011527867056429386,0.5532752871513367,0.6673638820648193,0.14126095175743103,-0.01752249151468277,-0.4014696776866913,0.064157634973526,0.6217622756958008,0.8845323920249939,-0.1367201805114746,0.06782634556293488,0.016006920486688614,-0.5566655397415161,-0.24308274686336517,0.48250633478164673,0.6339560747146606,-0.1682923287153244,-0.9072473645210266,0.09457423537969589,0.09949937462806702,-0.5697819590568542,-0.6992652416229248,-0.6218510270118713,-0.5483684539794922,0.7447419762611389,0.011743245646357536,-0.004836566746234894
0.10860010981559753,0.1968485713005066,0.0029575368389487267,0.6864414811134338,0.9480490684509277,0.015922509133815765,-0.13405808806419373,-0.40323635935783386,0.021672654896974564,0.5743118524551392,1.176188588142395,-0.27402031421661377,0.042401958256959915,0.2570798695087433,-0.4991215467453003,-0.43175867199897766,0.44835221767425537,0.366811603307724,-0.30971693992614746,-0.8015614748001099,-0.45637059211730957,-0.016696665436029434,-0.24729782342910767,-0.5811954140663147,-0.5273499488830566,-0.17083336412906647,0.9680706858634949,-0.3758540451526642,0.008459419012069702
0.38313978910446167,0.3168206214904785,0.002352922223508358,0.8335453867912292,1.3625564575195312,-0.13454677164554596,0.016200490295886993,-0.467574805021286,0.05550585314631462,0.6626116037368774,1.2082470655441284,-0.35175228118896484,0.030134636908769608,0.41045311093330383,-0.7578155994415283,-0.4048837721347809,0.5704288482666016,0.587344765663147,-0.3195323646068573,-0.7926443219184875,-0.059565745294094086,0.10695412755012512,-0.32996228337287903,-0.5409186482429504,-0.431625097990036,-0.28392156958580017,0.7779062390327454,-0.35762444138526917,-0.009471442550420761
0.27138298749923706,0.322020560503006,-0.03084808588027954,0.8573969602584839,1.2951388359069824,-0.07283686101436615,0.12595704197883606,-0.3871453106403351,0.014397021383047104,0.9417611360549927,1.4560227394104004,-0.18262600898742676,-0.044978220015764236,-0.05714712291955948,-0.7728917598724365,-0.18160663545131683,0.324529767036438,0.20844396948814392,-0.3311682939529419,-0.8833378553390503,-0.1362917572259903,-0.3096321225166321,-0.046421147882938385,-0.3918951749801636,-0.4489651620388031,-0.2865866720676422,0.8084118962287903,-0.2727183997631073,0.2336762398481369
0.2838006019592285,0.36154720187187195,0.02966514229774475,0.6366456151008606,0.8380420207977295,0.10920626670122147,0.0031656622886657715,-0.217594712972641,0.017042893916368484,0.6152048110961914,1.2363159656524658,-0.10957837104797363,-0.02584206312894821,-0.08244580775499344,-0.5804320573806763,-0.5217535495758057,0.4356216788291931,0.31504541635513306,-0.25078320503234863,-0.7477155327796936,-0.10896111279726028,0.13302940130233765,-0.14849567413330078,-0.4829351007938385,-0.20552702248096466,-0.10579884052276611,0.7216181755065918,0.02529066614806652,-0.09093698859214783
0.07029035687446594,0.22006943821907043,0.004400952719151974,0.5976244807243347,0.8314233422279358,0.01951785385608673,-0.22078847885131836,-0.3412018418312073,0.041265908628702164,0.49486881494522095,0.9629064202308655,-0.3372921943664551,0.013321131467819214,0.2724771201610565,-0.34157297015190125,-0.4210854172706604,0.671536922454834,0.6002378463745117,-0.45235446095466614,-0.7522852420806885,-0.3677282929420471,-0.25621968507766724,-0.3328385651111603,-0.20299625396728516,-0.35454806685447693,-0.20692110061645508,0.7635813355445862,-0.34423843026161194,0.11325125396251678
0.029851898550987244,0.3770749568939209,-0.06261700391769409,0.4483279585838318,0.5513912439346313,0.1860218644142151,0.04342871159315109,-0.3398737609386444,0.014522600919008255,0.5789209008216858,0.6929307579994202,-0.2185775488615036,0.062309522181749344,-0.13017067313194275,-0.14332237839698792,-0.24532897770404816,0.1672537624835968,0.32958561182022095,-0.203635111451149,-0.9930964708328247,-0.10910065472126007,0.23491957783699036,-0.19720646739006042,-0.43998658657073975,-0.3882150650024414,-0.29416194558143616,0.8216651082038879,0.10118252784013748,-0.036929793655872345
