obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64,obs_65,obs_66,obs_67,obs_68,obs_69,obs_70,obs_71,obs_72,obs_73,obs_74,obs_75,obs_76,obs_77,obs_78,obs_79,obs_80,obs_81,obs_82,obs_83,obs_84,obs_85,obs_86,obs_87,obs_88,obs_89,obs_90,obs_91,obs_92,obs_93,obs_94,obs_95
-0.035909928381443024,-0.020797450095415115,0.03081757202744484,0.031627725809812546,0.006831329315900803,-0.9784136414527893,-0.07493866235017776,-0.02253899537026882,-0.0022599585354328156,0.3182125985622406,-0.18588049709796906,-0.024688666686415672,-0.11711001396179199,0.01623324118554592,0.031389787793159485,0.31195780634880066,-0.1906413584947586,-0.024764183908700943,0.008992556482553482,0.034208618104457855,0.034435518085956573,-0.002952821087092161,0.09806666523218155,0.0963580310344696,-0.002764817327260971,-0.1685505360364914,-0.019997209310531616,-0.008858847431838512,-0.019286544993519783,-0.12199386954307556,-0.1195068284869194,0.025864584371447563,0.2233116626739502,-0.010564625263214111,0.005498237907886505,0.02542850933969021,-0.021489357575774193,0.0635906383395195,0.013058478012681007,0.03632267937064171,-0.009104716591536999,-0.017194164916872978,0.05171464756131172,-0.036644767969846725,-0.048363734036684036,0.06718430668115616,0.0169075857847929,-0.06766306608915329,0.004878103733062744,0.027303695678710938,0.011798376217484474,-0.017580414190888405,-0.05444939807057381,-0.01607339456677437,0.029097115620970726,-0.03771514073014259,-0.013938188552856445,-0.013756930828094482,-0.007921719923615456,-0.022131621837615967,0.07297178357839584,0.05320662260055542,-0.01574178971350193,0.06611306965351105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
0.10497888922691345,0.20246650278568268,0.09416525065898895,0.04353440925478935,-0.04250361770391464,-0.9985659718513489,-0.045365869998931885,-0.026949353516101837,0.00908488966524601,0.23251774907112122,-0.09698779135942459,0.003026168793439865,-0.06466632336378098,0.0137837715446949,-0.0009890878573060036,0.1858351081609726,-0.07722530514001846,0.004407790489494801,-0.0005383305251598358,0.015001675114035606,0.0075262486934661865,0.00817793421447277,0.0965302512049675,0.09714790433645248,-0.015045833773911,-0.19320137798786163,-0.010002171620726585,0.013083498924970627,-0.009163592010736465,-0.10852781683206558,-0.10004790127277374,-0.012777572497725487,0.2095295786857605,-0.012869714759290218,6.620213389396667e-05,0.02218155935406685,0.01753372512757778,0.029332328587770462,-0.1795758455991745,0.15019281208515167,0.04590321704745293,0.10185370594263077,0.004190891981124878,-0.016553521156311035,-0.24462170898914337,0.24568109214305878,0.08341522514820099,-0.006046897266060114,-0.1051669716835022,-0.13237133622169495,0.019527215510606766,-9.130835678661242e-05,-0.01064909715205431,-0.03355502709746361,0.033102359622716904,0.08294787257909775,0.00969396810978651,0.03576510027050972,-0.016776068136096,-0.04647964984178543,-0.107723169028759,-0.036456137895584106,-0.0033088624477386475,-0.03666923567652702,0.09101337194442749,0.42819681763648987,-0.10753104090690613,0.5328272581100464,0.33144611120224,0.3731900751590729,0.016030780971050262,-0.22548815608024597,0.026138532906770706,0.42499420046806335,0.4999297857284546,0.1083877831697464,0.1369021236896515,-0.5155351161956787,-0.6153756380081177,-0.4289422929286957,0.5134621858596802,0.633490264415741,-0.26863670349121094,-0.9396999478340149,-0.12564986944198608,0.2021940052509308,-0.41221269965171814,-0.3292483985424042,-0.2175685167312622,-0.6069380044937134,0.5438711047172546,-0.21566139161586761,-0.0459102988243103,0.0,-0.0,-0.0
0.04072770103812218,-0.1553165465593338,-0.12559618055820465,-0.0007752366364002228,-0.007897399365901947,-0.9568313956260681,-0.008799356408417225,-0.009425535798072815,0.008982481434941292,0.19457758963108063,-0.12015780061483383,0.0032786447554826736,-0.044937968254089355,0.008017471060156822,0.016571052372455597,0.16434945166110992,-0.10670849680900574,-0.00012212619185447693,-0.00520120095461607,-0.0015601888298988342,-0.002853178419172764,0.004343264736235142,0.10942377150058746,0.10887634009122849,-0.006100466940551996,-0.19597603380680084,-0.018503282219171524,-0.007991094142198563,0.004138471558690071,-0.09123317152261734,-0.10304795950651169,0.001485009677708149,0.20260734856128693,0.007632158696651459,-0.0025647543370723724,0.09502003341913223,-0.05187806114554405,-0.018074030056595802,-0.1031152531504631,-0.05632425472140312,-0.051183827221393585,0.11543110758066177,-0.027590397745370865,-0.008760846219956875,-0.0064508202485740185,-0.21053779125213623,-0.07792207598686218,-0.016959000378847122,-0.04818693548440933,-0.028320187702775,-0.06322061270475388,0.08969246596097946,-0.047831084579229355,-0.060226913541555405,-0.002943712519481778,0.006399500649422407,-0.03570833429694176,-0.01701541058719158,0.004446172621101141,0.016041582450270653,-0.0064994278363883495,0.027489138767123222,0.06722760200500488,-0.011011123657226562,-0.11814023554325104,0.15515130758285522,0.02589695155620575,0.5861874222755432,-0.22438573837280273,0.2060537338256836,0.02664949744939804,-0.04640078917145729,0.006341550499200821,0.8348299264907837,0.25481051206588745,0.15768231451511383,0.013730049133300781,-0.013909928500652313,-0.018368713557720184,-0.15104299783706665,0.47063058614730835,0.3296089768409729,-0.1604352444410324,-0.8700461983680725,-0.2257091999053955,-0.16941000521183014,-0.1896837055683136,-0.2630719840526581,-0.27473318576812744,0.08256134390830994,0.798788845539093,0.1912463903427124,0.037904173135757446,0.0,-0.0,-0.0
-0.05586075782775879,0.041685525327920914,0.09065389633178711,0.03130994364619255,0.024788152426481247,-1.0253974199295044,-0.005356922280043364,0.0049514733254909515,-0.002264327835291624,0.17558324337005615,-0.17255379259586334,-0.005444166250526905,-0.05149544030427933,0.025023946538567543,-0.006727166008204222,0.17559091746807098,-0.11230486631393433,-0.030152076855301857,-0.00023952685296535492,0.016160523518919945,-0.009173234924674034,-0.017443126067519188,0.09860283881425858,0.1075921505689621,-0.0019982364028692245,-0.19667266309261322,-0.015369911678135395,0.0033398298546671867,-0.007022068835794926,-0.08418361842632294,-0.08989494293928146,-0.0019844062626361847,0.17875756323337555,-0.013626511208713055,0.011816145852208138,-0.05766868218779564,-0.008240443654358387,0.048179030418395996,0.059957634657621384,-0.010931498371064663,-0.07179275900125504,-0.05859602615237236,0.01694309711456299,0.009293818846344948,0.10034830868244171,0.00811766367405653,0.016878098249435425,0.06539987772703171,-0.08451300114393234,-0.013274788856506348,-0.030407533049583435,-0.0513729564845562,-0.05153169855475426,0.0903908833861351,-0.032680757343769073,-0.011758202686905861,-0.03219619393348694,0.009765952825546265,0.10749731212854385,0.05750298500061035,0.005285692401230335,-0.07252106815576553,0.023171234875917435,0.0018562078475952148,-0.5964123606681824,0.13817906379699707,-0.010763035155832767,0.6324352622032166,0.23651821911334991,-0.014048345386981964,0.22710293531417847,-0.3076564371585846,-0.03907306119799614,0.9909487962722778,1.983360767364502,0.05068014934659004,0.105820432305336,-0.09004464000463486,-0.06546451896429062,-0.04530935361981392,0.24121077358722687,0.4842745065689087,-0.056522876024246216,-0.8533837795257568,-0.04203338176012039,0.045185741037130356,-0.3042736351490021,-0.35869836807250977,-0.32814744114875793,-0.22973458468914032,0.5786803960800171,-0.31978413462638855,0.12988391518592834,0.0,-0.0,-0.0
0.02684081718325615,-0.02636876329779625,0.044429320842027664,0.019626643508672714,0.05494273081421852,-1.0417778491973877,0.012415442615747452,-3.6207959055900574e-05,0.0002698823809623718,0.14814400672912598,-0.1729469895362854,0.009356888011097908,-0.034989725798368454,0.038431525230407715,-0.009806311689317226,0.14881551265716553,-0.11252585053443909,-0.029266254976391792,0.002030625008046627,-0.0010993489995598793,-0.004304798319935799,0.003740229643881321,0.09191388636827469,0.10093632340431213,0.01226794347167015,-0.20356465876102448,0.001414656639099121,0.00864761509001255,0.0016424395143985748,-0.09855613112449646,-0.09140211343765259,0.009687494486570358,0.18640585243701935,-0.0062946742400527,0.006461722776293755,0.13747291266918182,-0.0367317870259285,-0.05793234333395958,-0.13935939967632294,0.046349357813596725,-0.02662685327231884,0.07901864498853683,-0.04899713024497032,-0.06871316581964493,-0.049162205308675766,0.008300411514937878,-0.004868316929787397,0.031717684119939804,-0.007216250989586115,0.04504745081067085,-0.03616940602660179,-0.06789714097976685,-0.023632198572158813,-0.04689322039484978,0.013623065315186977,0.05458664894104004,-0.002496409462764859,-0.010743833146989346,0.010600549168884754,-0.003870117710903287,-0.04077976197004318,0.026535987854003906,0.00999915599822998,0.020715797320008278,0.2453094869852066,0.01151258498430252,-0.040827229619026184,0.36171168088912964,0.6147145628929138,0.1062803640961647,0.2489430010318756,-0.5563184022903442,0.09301094710826874,0.5907019376754761,1.5417070388793945,-0.3127211332321167,0.05051303282380104,0.09289678186178207,-0.4271935224533081,-0.07006565481424332,0.643437385559082,0.6371392011642456,-0.36023303866386414,-0.7905067205429077,0.021396808326244354,0.08822409808635712,-0.3050643801689148,-0.9719451665878296,-0.7377910614013672,-0.3282090723514557,0.838482141494751,-0.3744811415672302,-0.2036670446395874,0.0,-0.0,-0.0
0.011003989726305008,-0.01829318329691887,-0.07122565805912018,-0.029949793592095375,0.0008313469588756561,-0.9810014963150024,0.04469989240169525,0.012611432000994682,-0.007395134307444096,0.1280091106891632,-0.1463981568813324,-0.006808748468756676,-0.01984403468668461,0.019558200612664223,-0.00932200625538826,0.1331171691417694,-0.10432187467813492,-0.027609821408987045,0.007067551836371422,-0.021253438666462898,-0.022741034626960754,-0.0010318132117390633,0.08828970044851303,0.10832063108682632,0.02783907763659954,-0.2030409276485443,-0.0013811420649290085,0.00397877674549818,0.005246652290225029,-0.09666204452514648,-0.0959700420498848,-0.0013007363304495811,0.19852173328399658,-0.023639146238565445,0.007496237754821777,0.0677882581949234,0.05439270660281181,-0.04373083636164665,-0.011249798350036144,-0.01545409020036459,0.04104771837592125,0.04623537138104439,-0.0019951702561229467,0.011473036371171474,-0.04445356875658035,-0.07078629732131958,0.06644531339406967,0.014120722189545631,-0.0020302534103393555,-0.05603865534067154,0.024638820439577103,0.08352295309305191,0.049138616770505905,0.10176706314086914,0.06646411865949631,0.0014172792434692383,-0.06169890984892845,0.04416840150952339,0.07692011445760727,-0.001092284917831421,0.06750833988189697,0.053764283657073975,0.032559122890233994,0.04250192642211914,0.3811022639274597,0.2963789701461792,0.008498742245137691,0.7616926431655884,1.487343668937683,-0.10367321223020554,0.3875390291213989,-0.5891344547271729,0.10213392972946167,0.9598517417907715,1.6572874784469604,-0.3105486035346985,0.050604794174432755,0.29301905632019043,-0.6057194471359253,-0.35693788528442383,0.7139940857887268,0.4740590453147888,-0.3646981418132782,-0.8595781922340393,-0.36304911971092224,-0.04420631006360054,-0.2487301230430603,-0.3892611861228943,-0.4537929892539978,-0.1564130187034607,0.8629252314567566,-0.19046130776405334,-0.03152155876159668,0.0,-0.0,-0.0
-0.03638521581888199,-0.13946717977523804,0.043064769357442856,-0.03803520277142525,-0.005835704505443573,-0.9935324788093567,0.048033758997917175,0.007875161245465279,-0.006937478668987751,0.09762062132358551,-0.13838407397270203,-0.0019443603232502937,-0.017574330791831017,0.02034999243915081,-0.016178980469703674,0.14543303847312927,-0.10961199551820755,-0.023198068141937256,0.01520402543246746,-0.022595681250095367,0.000942448154091835,0.01037539355456829,0.09567837417125702,0.0942063182592392,0.018644841387867928,-0.20441149175167084,0.006429294124245644,-0.0002258559688925743,0.006381461396813393,-0.10214563459157944,-0.10847891122102737,-0.0007822941988706589,0.18688911199569702,-0.012671717442572117,-0.01722986437380314,-0.03466879948973656,-0.03548112139105797,0.025090301409363747,0.020169949159026146,-0.05090862512588501,0.10343756526708603,0.022582901641726494,-0.0796997994184494,-0.0633891224861145,-0.04736241698265076,-0.051337938755750656,0.08972113579511642,0.07528835535049438,-0.021646786481142044,0.0498204231262207,0.06768389046192169,0.0030040086712688208,0.01337889488786459,-0.06714960932731628,-0.05863751098513603,-0.02014186419546604,-0.02992190793156624,-0.02457880973815918,-0.08741038292646408,0.016960913315415382,-0.009504723362624645,0.028477026149630547,0.030891073867678642,-0.04055462032556534,0.10514339804649353,0.17303046584129333,0.029197603464126587,0.4560304284095764,1.3077807426452637,-0.2730247378349304,0.021312423050403595,-0.62797611951828,0.04656459763646126,0.6508368253707886,0.9990351796150208,-0.5184928774833679,-0.023832004517316818,0.5379883050918579,-0.01656869798898697,-0.4220706820487976,0.3825162649154663,0.21125510334968567,-0.6311831474304199,-0.8402041792869568,-0.3593761920928955,-0.05789290741086006,-0.4338345229625702,-0.7415820956230164,-0.651491641998291,-0.34897586703300476,0.7596094608306885,-0.1630549132823944,-0.19203472137451172,0.0,-0.0,-0.0
-0.07109299302101135,0.22013680636882782,0.02283785119652748,0.033087801188230515,-0.0014461725950241089,-1.0173803567886353,0.06101685017347336,0.0007310090586543083,-0.0061384025029838085,0.09434709697961807,-0.13565653562545776,0.008058210834860802,-0.01121748611330986,0.032607100903987885,-0.003572830930352211,0.13859035074710846,-0.10887928307056427,-0.032866232097148895,0.0065748076885938644,-0.005575302988290787,-0.0029153749346733093,0.016011716797947884,0.08763837069272995,0.08601260930299759,0.034435875713825226,-0.2058591991662979,0.009417327120900154,0.009498070925474167,0.0009184302762150764,-0.10982231050729752,-0.11869529634714127,-0.0026362091302871704,0.19848491251468658,-0.008746429346501827,-0.008285822346806526,0.01413649320602417,0.0030235827434808016,0.00547255901619792,-0.12504255771636963,0.036498140543699265,-0.014495945535600185,0.035651352256536484,-0.068214550614357,0.04604342207312584,-0.03655317425727844,0.02051614597439766,-0.07460623979568481,-0.04528847709298134,0.04879789426922798,-0.07391800731420517,0.10307823866605759,0.006899994798004627,-0.010907977819442749,-0.04833120480179787,-0.022502213716506958,0.056935667991638184,0.039216410368680954,-0.04148223623633385,0.026848768815398216,-0.010138225741684437,-0.003695541759952903,0.06274731457233429,-0.06785591691732407,0.034654952585697174,0.4408491253852844,0.33267736434936523,-0.027082189917564392,0.5074787735939026,1.355525016784668,-0.4193049371242523,0.0471697598695755,-0.45354780554771423,0.10811787843704224,0.5947970151901245,0.6358283162117004,-0.6534507274627686,-0.02588043361902237,0.4951057732105255,-0.49078553915023804,-0.4636583924293518,0.5593069791793823,0.5045816898345947,-0.31884855031967163,-0.7982053160667419,-0.17307305335998535,0.0973697155714035,-0.24307996034622192,-0.2996257543563843,-0.3991895616054535,-0.1359146237373352,0.8130800127983093,-0.07944071292877197,0.16485843062400818,0.0,-0.0,-0.0
-0.0007218532264232635,-0.17479652166366577,0.007651213556528091,0.0310894213616848,-0.037211447954177856,-1.0051507949829102,0.06654271483421326,-0.00468468526378274,-0.004005249124020338,0.07190755754709244,-0.11971292644739151,0.013500701636075974,-0.010952500626444817,0.0228694137185812,-0.01235654205083847,0.1501162350177765,-0.11487258970737457,-0.023262977600097656,0.02024041675031185,-0.005273664835840464,0.0038537979125976562,0.007076894864439964,0.09598306566476822,0.08972351998090744,0.03326678276062012,-0.2048596739768982,0.007484877482056618,-0.001434633508324623,-0.010785856284201145,-0.11525797098875046,-0.1227998360991478,-0.0015372196212410927,0.19912107288837433,-0.00814281776547432,-0.005387934856116772,0.06077847629785538,-0.002876877784729004,-0.0037573277950286865,0.03531567007303238,0.04962046071887016,0.059185661375522614,-0.007824653759598732,0.01966230385005474,-0.025363892316818237,0.09009399265050888,-0.031935915350914,-0.028915077447891235,0.04709458351135254,-0.014188909903168678,0.03277989849448204,-0.10804037004709244,-0.03038761578500271,0.03852400928735733,0.010304761119186878,0.011703163385391235,-0.08306936174631119,-0.04174200817942619,-0.09210428595542908,0.02185732126235962,-0.04673201963305473,-0.05422931909561157,-0.05680262669920921,0.05064952373504639,0.06798990815877914,0.5638518333435059,0.21100065112113953,-0.011030660010874271,0.7084308862686157,1.4628225564956665,-0.17326170206069946,0.27191972732543945,-0.4359675347805023,0.024521607905626297,0.9785304069519043,0.943371593952179,-0.3285142183303833,0.010979931801557541,0.1752932071685791,-0.34309643507003784,-0.8334824442863464,0.5831458568572998,0.457645446062088,-0.6225746870040894,-0.7489361763000488,-0.5359835624694824,-0.09072013199329376,-0.010345853865146637,-0.3864649534225464,-0.2929248511791229,-0.07095445692539215,0.7571230530738831,0.10185295343399048,0.1059190034866333,0.0,-0.0,-0.0
0.007635403424501419,0.16024397313594818,0.03327285870909691,-0.05969402566552162,0.015002001076936722,-1.0380617380142212,0.0616944283246994,-0.017230980098247528,-0.005495655350387096,0.0794827938079834,-0.12800127267837524,0.013264806941151619,-0.021121157333254814,0.02188720740377903,-0.0056785400956869125,0.14762824773788452,-0.12565021216869354,-0.009465653449296951,0.011764230206608772,0.005147536285221577,-0.016697991639375687,0.020044805482029915,0.09738337248563766,0.10483717918395996,0.01941046118736267,-0.18931569159030914,0.01933102123439312,-0.00782160647213459,0.003388073295354843,-0.10408686101436615,-0.09904798865318298,-0.000328579917550087,0.18341673910617828,-0.010676206089556217,0.0070800334215164185,-0.034940265119075775,0.03869283199310303,0.06164855882525444,-0.0007721662404946983,0.09524288028478622,0.05965254455804825,-0.018182218074798584,-0.05567505583167076,-0.050341274589300156,-0.06907419115304947,0.03514279052615166,0.020924925804138184,0.019919896498322487,0.019611036404967308,-0.11749038845300674,-0.04182670637965202,0.07483775913715363,0.057429660111665726,-0.07114457339048386,0.00934681948274374,-0.05201997235417366,0.021667420864105225,0.0491008423268795,-0.046882834285497665,0.07549667358398438,-0.03162325173616409,-0.047738391906023026,0.0032418847549706697,-0.057253431528806686,0.5251865983009338,0.3599962890148163,0.008544339798390865,0.5427113175392151,1.2120094299316406,-0.0398162379860878,0.19950711727142334,-0.4789344370365143,0.09745463728904724,0.6665473580360413,0.7989917397499084,-0.270702987909317,0.045117709785699844,0.27222761511802673,-0.5649322271347046,-0.16073162853717804,0.5302618741989136,0.4920487403869629,-0.42469215393066406,-0.7308865189552307,-0.11678750067949295,-0.014309320598840714,-0.023296289145946503,-0.3630182147026062,-0.14861667156219482,-0.0541759692132473,0.707927405834198,-0.11936121433973312,0.006366506218910217,0.0,-0.0,-0.0
