action_0,target_dof_pos_0,qj0,dqj0,action_1,target_dof_pos_1,qj1,dqj1,action_2,target_dof_pos_2,qj2,dqj2,action_3,target_dof_pos_3,qj3,dqj3,action_4,target_dof_pos_4,qj4,dqj4,action_5,target_dof_pos_5,qj5,dqj5,action_6,target_dof_pos_6,qj6,dqj6,action_7,target_dof_pos_7,qj7,dqj7,action_8,target_dof_pos_8,qj8,dqj8,action_9,target_dof_pos_9,qj9,dqj9,action_10,target_dof_pos_10,qj10,dqj10,action_11,target_dof_pos_11,qj11,dqj11,action_12,target_dof_pos_12,qj12,dqj12,action_13,target_dof_pos_13,qj13,dqj13,action_14,target_dof_pos_14,qj14,dqj14,action_15,target_dof_pos_15,qj15,dqj15,action_16,target_dof_pos_16,qj16,dqj16,action_17,target_dof_pos_17,qj17,dqj17,action_18,target_dof_pos_18,qj18,dqj18,action_19,target_dof_pos_19,qj19,dqj19,action_20,target_dof_pos_20,qj20,dqj20,action_21,target_dof_pos_21,qj21,dqj21,action_22,target_dof_pos_22,qj22,dqj22,action_23,target_dof_pos_23,qj23,dqj23,action_24,target_dof_pos_24,qj24,dqj24,action_25,target_dof_pos_25,qj25,dqj25,action_26,target_dof_pos_26,qj26,dqj26,action_27,target_dof_pos_27,qj27,dqj27,action_28,target_dof_pos_28,qj28,dqj28
-0.3160770535469055,-0.07901926338672638,-0.0003161085769534111,0.06778599321842194,0.4498075246810913,0.11245188117027283,0.01675608567893505,-0.017219681292772293,0.11106939613819122,0.027767349034547806,0.02030029334127903,0.001692140125669539,-0.08591517806053162,-0.021478794515132904,-0.010553057305514812,-0.0006413817754946649,-0.9000669121742249,-0.2250167280435562,-0.06929237395524979,-0.10618988424539566,0.46942824125289917,0.11735706031322479,0.042194515466690063,0.037247538566589355,-0.05865274369716644,-0.01466318592429161,-0.0645904466509819,-0.025159358978271484,-0.19397073984146118,-0.048492684960365295,0.015666870400309563,0.09993111342191696,0.443842351436615,0.11096058785915375,0.058404117822647095,0.15001633763313293,1.423122763633728,0.355780690908432,0.1585487276315689,0.4085251986980438,-1.9433865547180176,-0.4858466386795044,-0.17783020436763763,-0.3310461938381195,0.21940621733665466,0.054851554334163666,0.025480089709162712,0.10488096624612808,-0.028350479900836945,-0.007087619975209236,0.013464689254760742,0.08831866830587387,0.07269434630870819,0.018173586577177048,0.011544555425643921,-0.01614764891564846,0.04291387274861336,0.01072846818715334,-0.028632452711462975,-0.05104471370577812,0.15245388448238373,0.03811347112059593,-0.05002225935459137,-0.16307209432125092,1.3823049068450928,0.3455762267112732,0.0627858117222786,0.13449899852275848,-0.10385026037693024,-0.02596256509423256,-0.050798527896404266,-0.061857808381319046,2.385098457336426,0.5962746143341064,0.15906602144241333,0.506727397441864,-0.3171131908893585,-0.07927829772233963,-0.019008878618478775,0.02546764723956585,0.040286362171173096,0.010071590542793274,-0.017163682729005814,-0.03614753112196922,0.0378759503364563,0.009468987584114075,0.011384619399905205,0.01591152511537075,0.6507703065872192,0.1626925766468048,-0.02492687851190567,-0.0712670087814331,-1.7005975246429443,-0.4251493811607361,-0.05809280276298523,-0.23839600384235382,-0.49790725111961365,-0.12447681277990341,0.0019096769392490387,0.06909339874982834,2.216277599334717,0.5540693998336792,0.1386411339044571,0.48621535301208496,0.04502987861633301,0.011257469654083252,-0.004053347744047642,0.07303156703710556,0.6688728332519531,0.16721820831298828,0.017883488908410072,0.011843383312225342,-0.5652243494987488,-0.1413060873746872,-0.029796404764056206,-0.044741928577423096
-0.5419458746910095,-0.13548646867275238,-0.015131873078644276,0.003672361373901367,0.212118998169899,0.05302974954247475,0.027304982766509056,0.00551649322733283,0.4295903742313385,0.10739759355783463,0.080748550593853,0.15928606688976288,0.018396973609924316,0.004599243402481079,0.02586757205426693,0.13603369891643524,-0.6740845441818237,-0.16852113604545593,-0.05278114229440689,0.008993375115096569,0.3520626425743103,0.08801566064357758,0.03156167268753052,-0.0709139034152031,-0.7133001089096069,-0.17832502722740173,-0.07983828336000443,-0.04041771963238716,-0.18444135785102844,-0.04611033946275711,-0.0012722695246338844,-0.08738060295581818,0.2694419026374817,0.06736047565937042,0.06217113137245178,0.021278096362948418,1.1864523887634277,0.29661309719085693,0.26930859684944153,0.120765820145607,-1.1598871946334839,-0.28997179865837097,-0.21277369558811188,-0.1083211824297905,-0.2467782199382782,-0.06169455498456955,-0.0005440898239612579,-0.13394169509410858,0.01718299835920334,0.004295749589800835,0.0045102667063474655,-0.0496915765106678,-0.007775455713272095,-0.0019438639283180237,-0.0066743046045303345,-0.07696914672851562,0.7975131273269653,0.19937828183174133,-0.03866821527481079,-0.0021178603637963533,1.2077034711837769,0.3019258677959442,-0.07182342559099197,-0.08787409216165543,2.078092098236084,0.519523024559021,0.14435335993766785,0.22925744950771332,0.49211594462394714,0.12302898615598679,-0.04746601730585098,0.10366576164960861,3.8095595836639404,0.9523898959159851,0.42338278889656067,0.5751599073410034,0.02497694455087185,0.006244236137717962,-0.0162085872143507,0.04782053455710411,0.302154004573822,0.0755385011434555,-0.02460687980055809,-0.005868262145668268,0.012965170666575432,0.003241292666643858,-0.01706438511610031,-0.08559084683656693,0.6430574655532837,0.16076436638832092,-0.06366321444511414,-0.08025103807449341,-1.9438380002975464,-0.4859595000743866,-0.14558757841587067,-0.1937306523323059,-0.24468743801116943,-0.06117185950279236,0.03167001157999039,0.06323982775211334,3.3757317066192627,0.8439329266548157,0.4005773365497589,0.5903896689414978,0.005270510911941528,0.001317627727985382,0.002038588747382164,-0.05314476042985916,0.31052643060684204,0.07763160765171051,0.013273116201162338,-0.005248177330940962,0.18048259615898132,0.04512064903974533,-0.003398948349058628,0.046581100672483444
-0.7122053503990173,-0.17805133759975433,-0.024580705910921097,-0.028659015893936157,0.5774998664855957,0.14437496662139893,0.020855845883488655,-0.037687238305807114,0.28420373797416687,0.07105093449354172,0.09764619916677475,0.07829029858112335,-0.11398017406463623,-0.028495043516159058,0.042620375752449036,0.08717819303274155,-0.7815647721290588,-0.1953911930322647,-0.010510478168725967,-0.041663479059934616,0.34978002309799194,0.08744500577449799,-0.02034178376197815,0.0035412670113146305,-0.5590552687644958,-0.13976381719112396,-0.09959817677736282,-0.10485489666461945,0.0956263542175293,0.023906588554382324,-0.0113872941583395,-0.004610294010490179,0.3313480615615845,0.08283701539039612,0.07940728217363358,-0.007563150022178888,1.3236243724822998,0.33090609312057495,0.31795138120651245,0.10548782348632812,-1.0257714986801147,-0.2564428746700287,-0.22752796113491058,-0.04004908353090286,-0.07706943154335022,-0.019267357885837555,-0.013115477748215199,-0.01417167205363512,0.30946171283721924,0.07736542820930481,0.0009465143084526062,0.019545579329133034,0.43755194544792175,0.10938798636198044,-0.011821174062788486,-0.08129953593015671,0.5703099966049194,0.14257749915122986,-0.025679592043161392,0.017075909301638603,1.1422042846679688,0.2855510711669922,-0.04442664235830307,0.038396429270505905,1.122093677520752,0.280523419380188,0.2152511179447174,0.1630491316318512,0.14233489334583282,0.035583723336458206,-0.032649606466293335,0.052562057971954346,3.8519487380981445,0.9629871845245361,0.6334936022758484,0.406594842672348,0.05819401890039444,0.01454850472509861,-0.006265351548790932,-0.053952135145664215,0.604386568069458,0.1510966420173645,0.02732381783425808,0.09671914577484131,0.2794126868247986,0.06985317170619965,0.00886794924736023,0.03315131738781929,0.3629577159881592,0.0907394289970398,-0.0600142702460289,-0.001998221967369318,-1.1721245050430298,-0.29303112626075745,-0.219399094581604,-0.17245739698410034,-0.16980081796646118,-0.042450204491615295,0.009463032707571983,-0.12304649502038956,3.3935866355895996,0.8483966588973999,0.5979499220848083,0.38659676909446716,0.026667386293411255,0.006666846573352814,0.006439412012696266,0.028067518025636673,0.09750185906887054,0.024375464767217636,0.019176101312041283,-0.03602658584713936,-0.31587231159210205,-0.07896807789802551,-0.026049265637993813,-0.04662429541349411
-0.7263213992118835,-0.1815803498029709,-0.04293984919786453,-0.030604273080825806,1.1353379487991333,0.2838344871997833,0.010652119293808937,-0.055220820009708405,0.19293716549873352,0.04823429137468338,0.10060823708772659,-0.002368295332416892,0.24180543422698975,0.060451358556747437,0.08124600350856781,0.1676892787218094,-0.6916463375091553,-0.17291158437728882,-0.054012708365917206,-0.03374370560050011,0.3672526478767395,0.09181316196918488,-0.0023495331406593323,0.050109099596738815,0.004188641905784607,0.0010471604764461517,-0.08371516317129135,-0.043031107634305954,-0.14145150780677795,-0.03536287695169449,-0.01753569021821022,0.07130558788776398,0.45939797163009644,0.11484949290752411,0.10716207325458527,0.009653925895690918,1.1945319175720215,0.29863297939300537,0.30125802755355835,0.0011020004749298096,-0.4298732876777649,-0.10746832191944122,-0.21398892998695374,0.049110282212495804,-0.18046465516090393,-0.04511616379022598,-0.00371260242536664,0.13481926918029785,0.2495187520980835,0.062379688024520874,-0.0011510048061609268,-0.03301726281642914,0.3528389036655426,0.08820972591638565,-0.024106279015541077,-0.01259421743452549,0.2623974084854126,0.06559935212135315,-0.0055059525184333324,0.13062429428100586,1.0770933628082275,0.2692733407020569,0.023084109649062157,0.2674811780452728,0.3636457324028015,0.09091143310070038,0.23868626356124878,0.06480967998504639,0.06992898881435394,0.017482247203588486,0.02406715415418148,0.1055707111954689,3.792341947555542,0.9480854868888855,0.7839070558547974,0.3402157723903656,-0.04365048557519913,-0.010912621393799782,-0.010254825465381145,0.041739847511053085,-0.2808033525943756,-0.0702008381485939,0.01836269162595272,-0.04039820656180382,-0.3844250738620758,-0.09610626846551895,-0.020905962213873863,-0.026716167107224464,0.2598282992839813,0.06495707482099533,-0.021758129820227623,0.20127597451210022,-0.480031281709671,-0.12000782042741776,-0.26411399245262146,-0.025564854964613914,0.1782805323600769,0.044570133090019226,-0.019972950220108032,-0.04383585974574089,3.138864278793335,0.7847160696983337,0.7071378827095032,0.27276554703712463,-0.14845283329486847,-0.03711320832371712,-0.006384219974279404,0.038924336433410645,-0.003351643681526184,-0.000837910920381546,0.020979825407266617,-0.013799333944916725,0.5023791790008545,0.12559479475021362,0.0070536695420742035,0.03047783486545086
-0.39886289834976196,-0.09971572458744049,-0.0620327964425087,-0.03652026876807213,0.7920936346054077,0.19802340865135193,0.01096191257238388,0.022011036053299904,0.28397849202156067,0.07099462300539017,0.10218096524477005,-0.04835279658436775,0.3352428078651428,0.0838107019662857,0.11533588916063309,0.1269351989030838,-0.8595097661018372,-0.2148774415254593,-0.07724639773368835,-0.12028825283050537,0.2961398959159851,0.07403497397899628,-0.022010741755366325,0.0008867979049682617,-0.005826517939567566,-0.0014566294848918915,-0.06967493146657944,-0.03456515446305275,-0.4631422460079193,-0.11578556150197983,-0.022303761914372444,0.08853811025619507,0.6568585634231567,0.16421464085578918,0.11829844862222672,-0.009158599190413952,0.8633626699447632,0.2158406674861908,0.2594543993473053,-0.04039241746068001,-0.40746259689331055,-0.10186564922332764,-0.20674735307693481,0.0249321348965168,-0.28170374035835266,-0.07042593508958817,0.010780733078718185,-0.08220414817333221,0.034580048173666,0.0086450120434165,-0.0021329252049326897,-0.022788096219301224,0.1440204381942749,0.036005109548568726,0.007496630772948265,0.05996730551123619,-0.28426286578178406,-0.07106571644544601,0.030202751979231834,0.054906368255615234,0.322602778673172,0.080650694668293,0.11750722676515579,0.19857898354530334,0.693495512008667,0.17337387800216675,0.23281683027744293,-0.028812779113650322,-0.1096804291009903,-0.027420107275247574,0.0057513527572155,-0.07536061853170395,3.2311553955078125,0.8077888488769531,0.8670408725738525,0.10357508808374405,0.010676303878426552,0.002669075969606638,-0.0023795943707227707,0.05941338464617729,-0.06359812617301941,-0.015899531543254852,0.015702350065112114,0.015658169984817505,0.24095699191093445,0.06023924797773361,0.0018453607335686684,0.1199655756354332,0.3029845654964447,0.07574614137411118,0.0598079189658165,0.12866973876953125,-0.5546959638595581,-0.13867399096488953,-0.2813397943973541,-0.058540016412734985,0.23411399126052856,0.05852849781513214,-0.014976564794778824,0.0014905392890796065,3.274409055709839,0.8186022639274597,0.7831888198852539,0.14081096649169922,-0.010312065482139587,-0.002578016370534897,-0.001267891377210617,0.045626964420080185,-0.06821613013744354,-0.017054032534360886,0.027680715546011925,-0.022776341065764427,-0.11950397491455078,-0.029875993728637695,-0.0059327357448637486,-0.07586630433797836
-0.02924978733062744,-0.00731244683265686,-0.047064922749996185,0.0334746353328228,0.4012832045555115,0.10032080113887787,0.01140480674803257,-0.029184183105826378,0.3363373577594757,0.08408433943986893,0.11122201383113861,-0.034707266837358475,0.3881850838661194,0.09704627096652985,0.11521605402231216,-0.09091541171073914,-0.4134410321712494,-0.10336025804281235,-0.0727127343416214,-0.061197198927402496,0.2758651673793793,0.06896629184484482,-0.022061293944716454,0.030828654766082764,-0.04007542133331299,-0.010018855333328247,-0.05004438757896423,0.08739560097455978,-0.424123078584671,-0.10603076964616776,-0.016570497304201126,0.04470313712954521,0.6581929326057434,0.16454823315143585,0.10134806483983994,0.06262084096670151,0.8236987590789795,0.20592468976974487,0.24311675131320953,-0.10525234043598175,0.13618749380111694,0.034046873450279236,-0.20339760184288025,0.00753667950630188,-0.08695012331008911,-0.021737530827522278,0.013670289888978004,-0.06784345954656601,-0.187963604927063,-0.04699090123176575,0.01247384212911129,0.06916909664869308,-0.19355988502502441,-0.048389971256256104,0.02271926961839199,-0.031835783272981644,-0.3570846915245056,-0.0892711728811264,0.03931798040866852,0.07004033774137497,0.3158993721008301,0.07897484302520752,0.21683579683303833,0.18517687916755676,1.1996221542358398,0.29990553855895996,0.2405252307653427,0.03755934163928032,0.22727443277835846,0.056818608194589615,0.03573071211576462,0.07892763614654541,3.2942376136779785,0.8235594034194946,0.9012101888656616,0.07733472436666489,-0.11625675112009048,-0.02906418778002262,-0.012246329337358475,-0.04912557080388069,-0.23325015604496002,-0.058312539011240005,0.013559602200984955,0.008682317100465298,-0.2800348103046417,-0.07000870257616043,-0.013015453703701496,-0.05433046817779541,0.46852052211761475,0.11713013052940369,0.1259242743253708,0.17048659920692444,-0.6763937473297119,-0.16909843683242798,-0.2674676775932312,0.07057452201843262,-0.06199479103088379,-0.015498697757720947,-0.034334003925323486,-0.006639313884079456,3.4399070739746094,0.8599767684936523,0.8370825052261353,0.1861312836408615,-0.04289118945598602,-0.010722797363996506,-0.0061121974140405655,-0.041201818734407425,-0.19488973915576935,-0.04872243478894234,0.0126543790102005,-0.04087251052260399,0.5275517702102661,0.13188794255256653,0.03595289587974548,0.03150006756186485
0.1880061775445938,0.04700154438614845,-0.053996965289115906,-0.016835296526551247,0.39674055576324463,0.09918513894081116,0.018333731219172478,-0.0009011030197143555,0.35149896144866943,0.08787474036216736,0.10900890827178955,-0.048435043543577194,0.49234330654144287,0.12308582663536072,0.10367348045110703,-0.08295460790395737,-0.01006101444363594,-0.002515253610908985,-0.07315772771835327,0.05693572759628296,0.20842841267585754,0.052107103168964386,-0.02323070541024208,0.04270805045962334,0.04840809106826782,0.012102022767066956,-0.03751976788043976,-0.027385687455534935,-0.45192593336105347,-0.11298148334026337,-0.00947633758187294,-0.06692193448543549,0.6042081713676453,0.15105204284191132,0.11382689327001572,-0.037485744804143906,0.9050657749176025,0.22626644372940063,0.20951731503009796,0.0056899189949035645,0.8758097887039185,0.21895244717597961,-0.1905190795660019,-0.046932000666856766,0.08769536018371582,0.021923840045928955,0.0012433547526597977,-0.02319234050810337,-0.19955945014953613,-0.04988986253738403,0.01107238419353962,-0.049938689917325974,-0.2119866907596588,-0.0529966726899147,0.022231271490454674,-0.023776156827807426,-0.407558411359787,-0.10188960283994675,0.05511946976184845,0.04061082750558853,0.5311554670333862,0.13278886675834656,0.281558632850647,0.07807209342718124,1.1903281211853027,0.2975820302963257,0.2633521854877472,0.0420520082116127,-0.1117459237575531,-0.027936480939388275,-0.0002379249781370163,-0.09383733570575714,3.3883018493652344,0.8470754623413086,0.9195733070373535,1.763105501595419e-05,0.055676691234111786,0.013919172808527946,9.038671851158142e-05,0.07897301763296127,-0.24752597510814667,-0.06188149377703667,0.013179352506995201,-0.0014929473400115967,0.16879712045192719,0.042199280112981796,-0.003592083230614662,0.08366868644952774,0.21810929477214813,0.05452732369303703,0.17078328132629395,0.08264801651239395,-1.2718100547790527,-0.3179525136947632,-0.2646930515766144,0.05048488453030586,0.014990687370300293,0.0037476718425750732,-0.006670250091701746,0.03876173496246338,3.461754322052002,0.8654385805130005,0.8909652829170227,0.05590632185339928,0.19251355528831482,0.048128388822078705,-0.003810189664363861,0.07764395326375961,0.004965528845787048,0.001241382211446762,0.031026309356093407,-0.050850361585617065,-0.5761795043945312,-0.1440448760986328,-0.016925062984228134,-0.10570681095123291
0.17296864092350006,0.043242160230875015,-0.017268402501940727,0.10861978679895401,0.3030664324760437,0.07576660811901093,0.029459556564688683,-0.027864346280694008,0.3141731917858124,0.0785432979464531,0.10307078063488007,-0.018908578902482986,0.30364781618118286,0.07591195404529572,0.09164486080408096,-0.03200886771082878,-0.08771960437297821,-0.021929901093244553,-0.07327478379011154,-0.002168947597965598,0.12162230163812637,0.030405575409531593,-0.016837744042277336,-0.04186507686972618,0.2810949683189392,0.0702737420797348,-0.01060183160007,0.07260306179523468,-0.4047846794128418,-0.10119616985321045,-0.004539483692497015,-0.03589639812707901,0.7328254580497742,0.18320636451244354,0.10798584669828415,0.06542877107858658,0.7099615335464478,0.17749038338661194,0.1730034500360489,-0.14577579498291016,0.7240445613861084,0.1810111403465271,-0.1806614100933075,0.077384352684021,0.081001415848732,0.020250353962183,0.011283494532108307,0.020825600251555443,-0.12050942331552505,-0.030127355828881264,0.0005379552021622658,0.06228842958807945,-0.09628647565841675,-0.024071618914604187,0.021479224786162376,0.026328742504119873,-0.5286596417427063,-0.13216491043567657,0.06122411787509918,-0.03314623236656189,0.5961496233940125,0.1490374058485031,0.30892181396484375,0.07767843455076218,1.0759246349334717,0.2689811587333679,0.2561957836151123,-0.05396728590130806,0.22757430374622345,0.05689357593655586,0.027200957760214806,0.021029770374298096,3.521547317504883,0.8803868293762207,0.9439710974693298,0.0229007788002491,-0.044560037553310394,-0.011140009388327599,0.009986849501729012,-0.05035965517163277,-0.20323559641838074,-0.050808899104595184,0.002770461142063141,0.037960171699523926,-0.2601214051246643,-0.06503035128116608,-0.014813796617090702,-0.11037903279066086,0.27897435426712036,0.06974358856678009,0.1997341811656952,0.025622129440307617,-1.3476910591125488,-0.3369227647781372,-0.2502293288707733,-0.06478995829820633,-0.22330862283706665,-0.05582715570926666,-0.015162105672061443,0.012339174747467041,3.447382688522339,0.8618456721305847,0.9353645443916321,0.03749537467956543,-0.07038715481758118,-0.017596788704395294,-0.013176443986594677,-0.04541015625,-0.3419974446296692,-0.0854993611574173,0.015780692920088768,-0.00990527868270874,0.47997334599494934,0.11999333649873734,0.029407957568764687,0.026504481211304665
0.1319228559732437,0.03298071399331093,-0.013749314472079277,0.09318127483129501,0.20239128172397614,0.050597820430994034,0.034183211624622345,0.070622518658638,0.27909907698631287,0.06977476924657822,0.10908671468496323,0.011565160937607288,0.26181644201278687,0.06545411050319672,0.06980559229850769,-0.04152347147464752,0.18330825865268707,0.04582706466317177,-0.05525549501180649,-0.05155068635940552,0.27094772458076477,0.06773693114519119,-0.019413523375988007,-0.07118242979049683,0.18933247029781342,0.047333117574453354,0.0028271498158574104,-0.03506554290652275,-0.29534822702407837,-0.07383705675601959,-0.0013699047267436981,0.01766108348965645,0.6292811632156372,0.1573202908039093,0.09724365919828415,-0.05901167541742325,0.6564834117889404,0.1641208529472351,0.1542666256427765,-0.10770928859710693,0.4835243225097656,0.1208810806274414,-0.17202554643154144,0.07138732820749283,-0.013063371181488037,-0.0032658427953720093,0.014725157991051674,0.012753242626786232,-0.14047515392303467,-0.03511878848075867,-0.005393507424741983,0.041691482067108154,-0.08063669502735138,-0.020159173756837845,0.036579109728336334,-0.05845058709383011,-0.32133179903030396,-0.08033294975757599,0.05709078162908554,-0.044643301516771317,0.48712265491485596,0.12178066372871399,0.3379872441291809,0.06283142417669296,1.19637131690979,0.2990928292274475,0.2636091411113739,0.06784757226705551,0.018233101814985275,0.004558275453746319,0.014329204335808754,-0.08669830858707428,3.4983887672424316,0.8745971918106079,0.9707826972007751,0.05712270736694336,-0.0797886922955513,-0.019947173073887825,0.006018379703164101,-0.044068630784749985,-0.18096640706062317,-0.04524160176515579,-0.004110244102776051,-0.06028309464454651,0.24752509593963623,0.06188127398490906,0.00664314441382885,0.05618797615170479,0.5424025654792786,0.13560064136981964,0.2298499196767807,0.08526017516851425,-1.2344897985458374,-0.30862244963645935,-0.24517428874969482,-0.014797377400100231,-0.06275072693824768,-0.01568768173456192,-0.020228322595357895,0.05705082416534424,3.515408754348755,0.8788521885871887,0.9443224668502808,-0.054954517632722855,0.24417802691459656,0.06104450672864914,0.013909561559557915,0.06825409084558487,-0.18264277279376984,-0.04566069319844246,0.005259731784462929,0.05902821943163872,-0.6332207918167114,-0.15830519795417786,-0.017063144594430923,-0.06268401443958282
0.23940111696720123,0.05985027924180031,0.007194157689809799,-0.04024894908070564,0.08514541387557983,0.02128635346889496,0.01963597908616066,0.047696854919195175,0.33836716413497925,0.08459179103374481,0.09609805792570114,0.013014835305511951,0.3068057894706726,0.07670144736766815,0.058439381420612335,-0.018522972241044044,0.14109213650226593,0.03527303412556648,-0.05331404507160187,-0.06401892751455307,0.4186813533306122,0.10467033833265305,-0.011711744591593742,0.0026992440689355135,0.16516287624835968,0.04129071906208992,0.020459020510315895,0.08897631615400314,-0.3290872573852539,-0.08227181434631348,-0.015958771109580994,-0.07691936939954758,0.6780697703361511,0.16951744258403778,0.10918489843606949,-0.045280035585165024,0.5389629006385803,0.13474072515964508,0.1238759234547615,-0.012412047944962978,0.24275410175323486,0.060688525438308716,-0.15586113929748535,0.016817141324281693,-0.07661420106887817,-0.019153550267219543,0.006145410239696503,0.04968372732400894,-0.04554031789302826,-0.011385079473257065,0.011290468275547028,0.069645456969738,0.05490219593048096,0.01372554898262024,0.025189736858010292,-0.049383874982595444,-0.22965572774410248,-0.05741393193602562,0.05254986882209778,0.0026548386085778475,0.583147406578064,0.145786851644516,0.32140788435935974,-0.06890137493610382,0.9931685924530029,0.24829214811325073,0.250108003616333,0.004352772142738104,0.14807358384132385,0.03701839596033096,0.01916451007127762,-0.03796655684709549,3.464695930480957,0.8661739826202393,0.9537960886955261,-0.08034133911132812,-0.055563874542713165,-0.013890968635678291,0.004336651414632797,-0.03261343762278557,0.1260073184967041,0.031501829624176025,0.014845846220850945,-0.02930661104619503,-0.3413974940776825,-0.08534937351942062,-0.020423775538802147,0.0013809979427605867,0.6581630706787109,0.16454076766967773,0.24257029592990875,0.07749054580926895,-1.1205790042877197,-0.28014475107192993,-0.26277822256088257,0.043263029307127,-0.061290740966796875,-0.015322685241699219,-0.025845950469374657,0.06197492033243179,3.4783284664154053,0.8695821166038513,0.9392589330673218,-0.035938650369644165,-0.1490325778722763,-0.03725814446806908,-0.008674060925841331,0.032409097999334335,-0.21016152203083038,-0.052540380507707596,-0.001292189583182335,-0.0793251320719719,0.3671742379665375,0.09179355949163437,-0.0009401049464941025,0.10203325003385544
